FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,LAT,LON
1418958,Nitrof Point,Cape,AK,2,Aleutians West (CA),16,51.2194444,-179.1213889
1418411,Chandris Cove,Bay,AK,2,Aleutians West (CA),16,51.2425,-179.1411111
1418803,Knob Point,Cape,AK,2,Aleutians West (CA),16,51.2522222,-179.0613889
1419414,Ulva Cove,Bay,AK,2,Aleutians West (CA),16,51.2580556,-179.0722222
1418136,Amatignak Island,Island,AK,2,Aleutians West (CA),16,51.2622222,-179.1086111
1418503,Dome Rock,Island,AK,2,Aleutians West (CA),16,51.3002778,-179.1188889
1419408,Ulak Pass,Channel,AK,2,Aleutians West (CA),16,51.3013889,-179.0455556
1418665,Hasgox Point,Cape,AK,2,Aleutians West (CA),16,51.3108333,-178.9866667
1418494,Dinkum Point,Cape,AK,2,Aleutians West (CA),16,51.3411111,-178.9091667
1419022,Patton Cove,Bay,AK,2,Aleutians West (CA),16,51.3427778,-178.9494444
1416176,Grampus Point,Cape,AK,2,Aleutians West (CA),16,51.3516667,179.2380556
1419329,Tanadak Island,Island,AK,2,Aleutians West (CA),16,51.3541667,-179.0161111
1416281,Omega Point,Cape,AK,2,Aleutians West (CA),16,51.3588889,179.3936111
2585469,Tanasux,Island,AK,2,Aleutians West (CA),16,51.3597222,179.1983333
1416327,Sea Otter Rock,Island,AK,2,Aleutians West (CA),16,51.3602778,179.4930556
1416295,Pillow Point,Cape,AK,2,Aleutians West (CA),16,51.3611111,179.3230556
1416316,Saint Makarius Point,Cape,AK,2,Aleutians West (CA),16,51.3613889,179.2180556
1416343,South Bight,Bay,AK,2,Aleutians West (CA),16,51.3644444,179.3744444
1419406,Ulak Island,Island,AK,2,Aleutians West (CA),16,51.365,-178.9472222
1416297,Pluton Cove,Bay,AK,2,Aleutians West (CA),16,51.3666667,179.4363889
1419081,Pratt Cove,Bay,AK,2,Aleutians West (CA),16,51.3666667,-178.9863889
1868009,Long Lake,Lake,AK,2,Aleutians West (CA),16,51.3697222,179.2680556
1416151,East Cape,Cape,AK,2,Aleutians West (CA),16,51.3730556,179.4583333
1416233,Makarius Bay,Bay,AK,2,Aleutians West (CA),16,51.3825,179.21
1401095,Delarof Islands,Island,AK,2,Aleutians West (CA),16,51.3869444,-178.9630556
1416270,North Bight,Bay,AK,2,Aleutians West (CA),16,51.3913889,179.4175
1419775,Jones Lake,Lake,AK,2,Aleutians West (CA),16,51.3986111,179.2544444
1416135,Constantine Point,Cape,AK,2,Aleutians West (CA),16,51.4002778,179.3469444
1416134,Constantine Harbor,Bay,AK,2,Aleutians West (CA),16,51.4030556,179.2969444
1866923,Jones Creek,Stream,AK,2,Aleutians West (CA),16,51.4033333,179.2755556
1877323,Whale Cove,Bay,AK,2,Aleutians West (CA),16,51.405,179.3555556
1416194,Ivakin Point,Cape,AK,2,Aleutians West (CA),16,51.4069444,179.3936111
1419776,Kirilof Wharf,Locale,AK,2,Aleutians West (CA),16,51.4083333,179.2916667
1416128,Clam Point,Cape,AK,2,Aleutians West (CA),16,51.4094444,179.1619444
1865632,Duck Cove,Bay,AK,2,Aleutians West (CA),16,51.4138889,179.1583333
1416206,Kirilof Point,Cape,AK,2,Aleutians West (CA),16,51.415,179.2877778
1416127,Clam Bay,Bay,AK,2,Aleutians West (CA),16,51.4158333,179.1533333
1419643,Rifle Range Point,Cape,AK,2,Aleutians West (CA),16,51.4158333,179.1916667
1877227,Stone Beach Cove,Bay,AK,2,Aleutians West (CA),16,51.4166667,179.2333333
1416205,Kirilof Bay,Bay,AK,2,Aleutians West (CA),16,51.4180556,179.2566667
1419655,Duk Cove,Bay,AK,2,Aleutians West (CA),16,51.4180556,179.1416667
1877204,Silver Salmon Lake,Lake,AK,2,Aleutians West (CA),16,51.4227778,179.2186111
1416091,Bat Island,Island,AK,2,Aleutians West (CA),16,51.4272222,179.2383333
1875777,Quonset Lake,Lake,AK,2,Aleutians West (CA),16,51.4325,-179.1847222
1877276,Ultra Creek,Stream,AK,2,Aleutians West (CA),16,51.4352778,179.1069444
1419642,Cyril Cove,Bay,AK,2,Aleutians West (CA),16,51.4494444,179.2172222
1854237,Bridge Creek,Stream,AK,2,Aleutians West (CA),16,51.4516667,179.1905556
1416350,Square Bay,Bay,AK,2,Aleutians West (CA),16,51.4519444,179.1975
2585470,Hanitxux,Lake,AK,2,Aleutians West (CA),16,51.4555556,179.1794444
1416140,Crown Reefer Point,Cape,AK,2,Aleutians West (CA),16,51.4663889,179.1863889
1877261,Teal Creek,Stream,AK,2,Aleutians West (CA),16,51.4686111,179.0558333
